token_addr_idx,token_addr,pair_addr,token_create_ts,lp_create_ts,pair_idx
1,0x883E2496df47C07c7F2987691f99D491328D98C1,0x73acb9dfa8aa49bc17d8a59d5f4710d2b6ce21de,2023-08-01 14:28:59+00:00,2023-08-01 14:33:23+00:00,0
2,0xFCB755B046ea9B9bC4586db4018b49c5A02e3d1c,0xa118263e32b84b6bae4589a330d7f8c25e117029,2020-08-15 06:04:28+00:00,2020-08-15 06:19:52+00:00,1
3,0xd403F941FFD6ff30d139B97526ff655E5142ed21,0x42e8af5f2241b44356e43e98bc2da0fae835834d,2023-11-08 09:11:47+00:00,2023-11-08 14:48:35+00:00,1
4,0x34C6211621f2763c60Eb007dC2aE91090A2d22f6,0xb4c10663e4fb29f990d6ed681e61dab16bf30ffa,2021-11-13 01:06:38+00:00,2021-11-13 01:11:45+00:00,0
5,0xe053Cf2Bc6Dd5e3e773f23606846859EDdFE4925,0x93fcb0936e7d128b3d4df79250dabb1f21befe5b,2022-11-29 23:07:35+00:00,2022-11-29 23:07:35+00:00,1
6,0x3E19C4D8E826b2a35158Cbd1eBA15c5B4A8F34d9,0x4bb4061b738113327d5c5595ef3df3868de95e91,2021-06-15 07:04:17+00:00,2021-06-15 07:04:17+00:00,0
7,0xEaC8976401037B0f1a706d915285D442423B9B3C,0x80a0355b053a8eb0498c4be2862375948fa522ef,2022-03-16 17:13:07+00:00,2022-03-16 18:52:34+00:00,1
8,0x6795A9603E9992417560479b07ba04c5f0DD79E4,0x68bcfbddccb1650cbe584eb80cdd0a6e46ad134c,2021-12-26 06:07:02+00:00,2021-12-26 06:13:00+00:00,0
9,0x553712Fd6ec9dEf698E060e008bB28503Bd9f6A8,0xf8a4bd981fe306aa3358a0cf8dc6ba7e5457cd37,2020-11-28 06:39:33+00:00,2020-11-28 07:31:30+00:00,0
10,0xAAAAb2928e693Bb51e91AecA0599B1d1Cd718dff,0xa3ab26a5a599d2248a7dd13e741d56d52618bba8,2022-09-14 05:04:05+00:00,2022-09-14 05:06:30+00:00,0
11,0x38710A11b17Ca49362F461cBE2713491716b4B2b,0xf46a63bec9ffbc5a842e3174d18e1004dfb6f32a,2021-01-16 22:04:39+00:00,2021-01-16 22:06:18+00:00,0
12,0xBBFf2cCCd0E774478b2316fBbB22913f1F1475A7,0x05f661a6aa37956b17a1f7c623cdc4d709663bce,2021-01-28 19:34:04+00:00,2021-01-28 19:38:28+00:00,0
13,0xF836BCea14BfD5FcC449539Ad9BcD58032CD5eaf,0x9f49ad336102ec0d2745a3b84f091b013f0de087,2021-02-02 01:49:14+00:00,2021-02-02 02:01:02+00:00,1
14,0x9Cb6DD255A6bbe32130ce645ec45c0A3e9D87A4a,0x2cfdf63fd3050256423f925498dd62143fa4ae49,2024-04-24 15:30:11+00:00,2024-04-24 16:03:47+00:00,0
